Sample,1555778_a_at,1552519_at,1554044_a_at,1555758_a_at,Class
GSM272923,9.491395307000001,9.819716889,10.03448506,3.8829789310000002,0
GSM272924,10.23597526,10.25575908,10.39472012,4.819231018,0
GSM272925,9.531092333,9.878889963999999,9.803108803999999,5.302438415,0
GSM272926,8.805090273,10.26208635,10.43309145,4.670855769,0
GSM272927,9.224844011,9.864753199999999,10.69754262,3.993252679,0
GSM272928,9.650837724,10.41717507,10.41988836,4.463787257,0
GSM272929,9.212176282,10.01576649,9.83866861,4.360106793,0
GSM272930,8.183153577999999,6.753642492999999,5.82997378,4.088476223,0
GSM272931,9.589442438999999,10.0712082,10.79708839,4.387861148,0
GSM272932,7.431950496,9.365035447,10.03983403,4.097623626,0
GSM272933,11.4653531,9.52685453,8.513189248,4.522509041,0
GSM272934,10.11468608,10.21675996,9.887499267,4.167433132,0
GSM272935,9.692722035,8.272742441,8.206435374,4.902845533,0
GSM272936,8.766514687999999,8.053602911,8.762171147,4.2427070030000005,0
GSM272937,10.47380411,9.486186352999999,7.894059952999999,5.601234752000001,0
GSM272938,9.574856707999999,8.778755426,8.35654018,4.912290308,0
GSM272939,9.17074473,9.841921855,10.32296679,4.385419812,0
GSM272940,9.527340007000001,9.990098459,10.63570387,4.408396956,0
GSM272941,9.151707468,9.867138388999999,8.752057295,4.245629278,0
GSM272942,9.354019988,10.44329154,10.31150572,4.0064769060000005,0
GSM272950,11.19402939,3.9846115889999996,5.1443504980000005,10.02144074,1
GSM272951,10.69119277,4.324360073999999,5.389032506,7.7630196410000005,1
GSM272952,12.19695316,5.255630426000001,6.604368309,6.5322174539999995,1
GSM272953,12.64416172,3.6264244660000005,4.93158415,6.445545543,1
GSM272954,11.90935561,4.642689195,6.391833502000001,6.737820231000001,1
GSM272955,12.4377167,3.547456285,5.30140843,6.566501793,1
GSM272956,10.7929581,6.021954962000001,6.457057935,4.510904933,1
GSM272957,12.52260247,7.020809951,6.857187925,7.440046064,1
GSM272958,12.00968838,3.915429723,5.654061173,6.906001162000001,1
GSM272959,9.887648808,3.986466029,6.027837988,8.107665956,1
GSM272960,10.73267527,5.279304757,5.651721287000001,7.759702405,1
GSM272961,10.55668446,5.533949574,5.512667025,6.602578717,1
GSM272962,11.09853195,5.0503834130000005,6.081833507000001,6.789431388,1
GSM272963,12.22944867,6.453254208,8.462308416,7.593879732,1
GSM272964,11.53217018,6.959431236,7.220069618999999,6.579712515,1
GSM272965,10.29967143,7.701755625,7.669964286,7.000860264,1
GSM272966,11.807997,6.853424062999999,7.250025073,7.479497692000001,1
GSM272967,11.43462059,7.479075109,7.204623697000001,5.634621925,1
GSM272968,8.342879022,3.7088195369999997,5.311467498,6.690075355,1
GSM272969,10.55425887,3.8529173219999997,5.710598706,8.123196354,1
